,MedInc,HouseAge,TotalRooms,TotalBedRooms,Population,Households,Latitude,Longitude,MedHouseVal
17213,6.3997,50.0,3265.0,509.0,1256.0,443.0,34.44,-119.72,5.00001
8446,5.6482,35.0,1651.0,269.0,707.0,252.0,33.9,-118.37,2.948
6445,5.0,44.0,773.0,120.0,405.0,121.0,34.11,-118.04,4.471
2729,4.5714,33.0,1192.0,213.0,1066.0,211.0,32.8,-115.57,0.686
16060,4.3977,49.0,1724.0,295.0,795.0,297.0,37.76,-122.49,3.536
18026,4.7917,34.0,2231.0,360.0,1035.0,365.0,37.25,-121.92,2.432
6518,2.2559,24.0,5684.0,1485.0,6626.0,1481.0,34.07,-118.01,1.668
781,4.5281,35.0,2361.0,458.0,1727.0,467.0,37.61,-122.1,1.736
2258,3.3272,35.0,1872.0,363.0,1054.0,369.0,36.79,-119.83,0.656
18268,6.8268,34.0,1747.0,250.0,662.0,257.0,37.36,-122.06,5.00001
840,5.3226,18.0,1726.0,276.0,1186.0,310.0,37.6,-122.06,2.317
13312,4.9063,15.0,2700.0,460.0,1432.0,449.0,34.08,-117.6,1.598
14012,3.654,38.0,5430.0,1176.0,2357.0,1100.0,32.75,-117.17,2.49
16040,3.5156,42.0,1961.0,427.0,1211.0,409.0,37.71,-122.47,2.394
17432,3.1442,21.0,1182.0,243.0,733.0,251.0,34.65,-120.45,1.316
10910,2.1992,26.0,2589.0,1003.0,5756.0,983.0,33.74,-117.85,1.708
6023,1.6645,35.0,1293.0,339.0,1494.0,312.0,34.05,-117.75,0.933
10720,8.1093,17.0,4477.0,610.0,1798.0,612.0,33.63,-117.81,4.104
6569,4.5,46.0,1505.0,261.0,857.0,269.0,34.2,-118.15,1.842
3229,1.5909,27.0,1513.0,314.0,1071.0,284.0,36.31,-119.64,0.501
18497,3.2614,27.0,2361.0,449.0,1782.0,397.0,36.99,-121.54,3.05
1859,2.275,21.0,2696.0,578.0,1208.0,494.0,41.95,-124.14,1.224
7114,3.2222,34.0,2169.0,418.0,1169.0,406.0,33.92,-118.02,2.187
4170,3.0377,47.0,5077.0,1271.0,3348.0,1106.0,34.1,-118.21,1.868
20008,1.6354,20.0,1282.0,273.0,852.0,247.0,36.15,-119.06,0.49
8686,4.6563,32.0,3485.0,678.0,1715.0,649.0,33.86,-118.32,2.917
8607,5.0114,18.0,2516.0,485.0,1128.0,433.0,33.87,-118.37,3.386
6749,3.9464,42.0,2628.0,525.0,1494.0,523.0,34.11,-118.08,2.572
20564,2.8882,32.0,710.0,155.0,550.0,154.0,38.72,-121.71,1.514
12769,2.0224,41.0,1087.0,272.0,462.0,219.0,38.62,-121.42,0.649
7570,4.3646,42.0,1254.0,225.0,929.0,235.0,33.89,-118.21,1.162
2301,3.625,25.0,5016.0,963.0,2133.0,928.0,36.82,-119.78,0.895
5362,5.1637,36.0,3053.0,635.0,1234.0,577.0,34.03,-118.41,5.00001
4635,1.6953,43.0,1366.0,740.0,942.0,672.0,34.06,-118.3,1.5
4495,2.2344,34.0,1083.0,364.0,1132.0,338.0,34.06,-118.22,1.531
12592,4.0972,30.0,3236.0,588.0,1167.0,569.0,38.52,-121.51,1.814
19235,5.8369,19.0,3244.0,449.0,1174.0,454.0,38.48,-122.64,2.557
8021,5.5581,36.0,1756.0,297.0,798.0,287.0,33.84,-118.11,2.183
1674,2.3103,47.0,1685.0,405.0,835.0,372.0,38.04,-122.27,1.345
8749,5.878,39.0,2794.0,444.0,1319.0,441.0,33.82,-118.37,3.878
11011,7.0565,32.0,2308.0,301.0,967.0,320.0,33.77,-117.82,3.246
8658,5.7128,24.0,4373.0,871.0,1830.0,824.0,33.85,-118.39,3.662
11754,6.5322,14.0,2028.0,255.0,781.0,251.0,38.76,-121.17,3.94
18195,3.5586,26.0,2500.0,962.0,2374.0,879.0,37.39,-122.01,2.222
1678,5.0969,4.0,7999.0,1611.0,3596.0,1396.0,38.06,-122.32,1.742
19901,1.1419,35.0,1898.0,481.0,1123.0,433.0,36.32,-119.29,0.629
15439,4.8929,21.0,2284.0,360.0,999.0,356.0,33.2,-117.23,2.125
6989,2.6082,29.0,2376.0,700.0,1968.0,680.0,33.97,-118.04,1.625
20318,3.0972,25.0,3445.0,898.0,5558.0,894.0,34.2,-119.15,1.693
7520,2.5882,33.0,954.0,241.0,655.0,218.0,33.91,-118.26,0.928
16588,1.6937,52.0,966.0,247.0,589.0,228.0,37.74,-121.43,1.083
12082,5.1365,14.0,3776.0,580.0,1877.0,559.0,33.82,-117.52,2.15
12022,4.2985,12.0,7923.0,1470.0,4861.0,1385.0,33.96,-117.5,1.392
5167,2.3352,34.0,1089.0,278.0,995.0,315.0,33.94,-118.29,1.077
5923,5.8819,18.0,7798.0,1161.0,3710.0,1227.0,34.13,-117.78,2.605
4707,3.2411,52.0,2837.0,602.0,1164.0,551.0,34.06,-118.35,2.5
18686,3.1987,21.0,1416.0,269.0,779.0,200.0,37.0,-121.76,2.798
2565,3.1711,41.0,2127.0,358.0,911.0,349.0,40.78,-124.15,1.042
11151,5.25,35.0,793.0,128.0,589.0,137.0,33.84,-117.97,1.902
601,3.4934,25.0,3402.0,758.0,1645.0,710.0,37.7,-122.08,2.099
19908,2.425,18.0,3578.0,720.0,1540.0,640.0,36.3,-119.26,0.846
19258,1.722,14.0,2324.0,754.0,1026.0,677.0,38.46,-122.73,1.5
6883,2.629,38.0,3230.0,840.0,3485.0,827.0,34.06,-118.09,1.716
12303,3.3333,16.0,5277.0,1070.0,657.0,276.0,33.83,-116.75,1.434
5234,2.0187,39.0,1141.0,258.0,1313.0,234.0,33.94,-118.23,0.901
9697,2.0244,19.0,9899.0,2617.0,11272.0,2528.0,36.69,-121.61,1.185
1347,6.1237,7.0,1632.0,248.0,879.0,262.0,38.01,-121.92,1.66
19345,3.8681,29.0,2176.0,385.0,1117.0,374.0,38.64,-122.82,1.886
9334,4.2011,41.0,1865.0,392.0,825.0,369.0,38.01,-122.68,2.554
508,4.0018,14.0,7355.0,2408.0,3100.0,2051.0,37.84,-122.3,1.438
4670,1.847,18.0,3585.0,1661.0,5229.0,1534.0,34.05,-118.29,2.5
17435,2.3804,37.0,1697.0,334.0,740.0,272.0,34.64,-120.46,1.48
4924,1.2056,23.0,588.0,157.0,716.0,173.0,34.0,-118.24,0.875
14577,3.9464,35.0,1217.0,220.0,643.0,237.0,32.82,-117.2,1.716
3732,3.0119,30.0,2008.0,513.0,1052.0,496.0,34.18,-118.41,2.622
7946,5.0,43.0,2104.0,382.0,1071.0,396.0,33.86,-118.14,2.089
14262,1.1818,29.0,1040.0,291.0,1054.0,297.0,32.71,-117.11,0.832
10088,5.5608,34.0,1632.0,263.0,690.0,268.0,33.94,-117.97,2.558
11143,3.1884,25.0,4016.0,831.0,2166.0,774.0,33.84,-117.94,1.354
9126,3.86,36.0,1493.0,258.0,899.0,260.0,34.58,-118.06,1.093
9448,2.875,13.0,1999.0,375.0,750.0,308.0,37.46,-119.72,0.96
13443,2.7569,21.0,4460.0,930.0,2657.0,839.0,34.08,-117.42,1.275
15532,3.7109,11.0,5546.0,974.0,2300.0,970.0,33.18,-117.14,1.998
6379,5.0482,45.0,2535.0,455.0,1036.0,437.0,34.17,-118.05,3.889
19818,3.0156,32.0,728.0,136.0,461.0,149.0,36.57,-119.3,1.091
1754,3.7277,38.0,2751.0,522.0,1390.0,489.0,37.94,-122.32,1.651
10040,2.3125,48.0,1759.0,389.0,716.0,350.0,39.2,-121.05,1.083
17099,6.1043,36.0,4686.0,781.0,2254.0,845.0,37.46,-122.24,3.435
746,3.1115,39.0,2069.0,500.0,1408.0,478.0,37.67,-122.09,1.535
769,4.7143,35.0,1184.0,200.0,572.0,194.0,37.65,-122.09,1.938
8284,3.2917,49.0,2792.0,690.0,1301.0,648.0,33.77,-118.14,3.074
4624,5.7393,52.0,983.0,246.0,578.0,204.0,34.06,-118.32,5.00001
15243,5.8393,14.0,2518.0,458.0,931.0,414.0,33.0,-117.25,4.853
4665,2.2684,31.0,1744.0,720.0,2034.0,633.0,34.05,-118.3,1.938
7809,4.75,37.0,1061.0,202.0,768.0,206.0,33.9,-118.1,1.619
3062,2.6726,29.0,1476.0,220.0,902.0,205.0,35.64,-119.19,0.833
10101,5.7796,32.0,2620.0,398.0,1296.0,429.0,33.92,-117.97,2.413
6535,3.7279,36.0,1084.0,202.0,920.0,199.0,34.05,-118.05,1.622
8014,4.7222,36.0,1915.0,316.0,850.0,319.0,33.84,-118.1,2.258
2811,1.6286,42.0,1705.0,418.0,905.0,393.0,35.42,-119.03,0.546
13613,3.0,37.0,2498.0,472.0,1291.0,487.0,34.13,-117.25,0.834
18825,2.234,19.0,3599.0,695.0,1572.0,601.0,41.86,-122.33,0.586
15203,6.0857,5.0,14944.0,2490.0,6600.0,2407.0,32.93,-117.08,3.083
3594,5.0232,30.0,2871.0,470.0,1335.0,458.0,34.25,-118.49,2.539
13818,2.8021,14.0,3026.0,556.0,1349.0,485.0,34.43,-117.11,1.112
1489,2.4519,25.0,1205.0,260.0,608.0,272.0,37.95,-122.02,2.083
16272,2.8705,5.0,2232.0,488.0,1857.0,435.0,37.94,-121.24,1.136
20485,5.6949,21.0,4059.0,598.0,2133.0,634.0,34.28,-118.67,2.353
9992,2.3062,16.0,1000.0,197.0,508.0,190.0,39.09,-121.11,1.388
6071,7.5286,24.0,3128.0,497.0,1406.0,472.0,34.06,-117.85,4.627
3587,3.6187,34.0,2193.0,513.0,1299.0,497.0,34.22,-118.54,2.116
15911,3.3555,52.0,2163.0,607.0,1447.0,546.0,37.75,-122.42,2.75
19044,3.7061,24.0,1951.0,341.0,1140.0,338.0,38.45,-121.81,1.285
11979,3.3966,20.0,2451.0,475.0,1785.0,456.0,33.98,-117.48,1.15
1743,1.875,29.0,1899.0,524.0,1357.0,443.0,37.96,-122.35,0.972
14334,1.2668,27.0,1245.0,471.0,653.0,451.0,32.72,-117.16,2.25
5800,1.7301,7.0,2063.0,670.0,1892.0,643.0,34.15,-118.24,2.023
7655,4.1292,28.0,1642.0,434.0,1575.0,420.0,33.82,-118.27,2.019
6458,3.0854,39.0,2603.0,547.0,1196.0,487.0,34.11,-118.06,2.487
14,1.9167,52.0,2643.0,626.0,1212.0,620.0,37.85,-122.26,1.592
7039,3.5583,32.0,1083.0,206.0,737.0,218.0,33.95,-118.09,1.708
13883,3.2215,8.0,6463.0,1095.0,3213.0,1031.0,34.45,-117.27,1.088
8465,2.4741,8.0,3937.0,1404.0,2691.0,1142.0,33.91,-118.34,1.857
6740,5.6152,38.0,1713.0,285.0,779.0,286.0,34.12,-118.09,3.599
7216,1.8681,33.0,346.0,103.0,488.0,107.0,34.02,-118.17,1.125
15464,3.6736,2.0,4624.0,946.0,2091.0,808.0,33.16,-117.23,2.145
15554,2.2146,31.0,1832.0,444.0,1669.0,463.0,33.11,-117.08,1.167
12722,5.0497,38.0,2968.0,475.0,1176.0,454.0,38.58,-121.38,1.917
14914,3.9076,18.0,4747.0,846.0,3002.0,872.0,32.6,-117.04,1.529
14253,1.7075,29.0,3422.0,713.0,2775.0,644.0,32.71,-117.1,0.869
14121,1.6747,20.0,3854.0,1046.0,3555.0,966.0,32.74,-117.1,1.0
12382,4.0079,10.0,11836.0,2405.0,3811.0,1570.0,33.73,-116.38,1.345
18088,8.0158,13.0,2173.0,349.0,891.0,345.0,37.33,-122.07,4.2
4774,1.9408,42.0,2010.0,494.0,1203.0,427.0,34.04,-118.34,1.346
3773,6.1359,31.0,2235.0,363.0,914.0,370.0,34.17,-118.42,3.597
18533,1.9286,29.0,2568.0,747.0,1743.0,659.0,36.97,-122.02,1.953
16779,5.5647,31.0,3506.0,653.0,2296.0,645.0,37.68,-122.48,2.687
14923,5.766,30.0,4494.0,667.0,1883.0,680.0,32.64,-117.06,1.861
17670,2.3293,28.0,859.0,199.0,455.0,211.0,37.3,-121.87,2.159
20235,3.1757,50.0,1710.0,412.0,915.0,380.0,34.28,-119.27,2.063
5459,2.8417,34.0,1875.0,501.0,1491.0,526.0,33.99,-118.47,3.214
2884,1.4786,24.0,1807.0,465.0,1460.0,410.0,35.38,-118.98,0.548
6355,3.766,33.0,1994.0,405.0,993.0,403.0,34.14,-117.96,1.639
16828,12.5,7.0,120.0,21.0,50.0,27.0,37.64,-122.48,2.81
19212,2.9663,39.0,2739.0,573.0,1223.0,569.0,38.45,-122.71,1.854
15617,8.0755,52.0,2852.0,581.0,838.0,510.0,37.8,-122.42,5.00001
11600,5.5767,34.0,2287.0,347.0,1051.0,346.0,33.78,-118.08,3.72
882,4.1387,4.0,3746.0,993.0,1606.0,838.0,37.55,-121.96,1.625
11484,3.1912,20.0,3182.0,884.0,1770.0,817.0,33.73,-117.99,2.208
4317,3.1078,50.0,3457.0,854.0,1584.0,841.0,34.08,-118.34,3.467
10858,3.375,36.0,191.0,42.0,208.0,37.0,33.71,-117.86,1.575
16802,4.7361,41.0,2189.0,414.0,1063.0,409.0,37.66,-122.42,3.026
3032,4.4561,12.0,5589.0,941.0,3018.0,917.0,35.41,-119.12,0.969
9721,5.2729,13.0,833.0,130.0,405.0,127.0,36.9,-121.68,3.229
19121,3.7917,40.0,1974.0,410.0,1039.0,398.0,38.24,-122.64,1.516
14669,4.2621,4.0,2782.0,817.0,1309.0,787.0,32.78,-117.12,1.242
18621,4.8,20.0,467.0,95.0,229.0,86.0,37.08,-122.04,2.615
17482,4.6806,23.0,3172.0,588.0,1467.0,559.0,34.44,-119.81,2.889
6315,6.6988,26.0,2988.0,397.0,1371.0,415.0,34.0,-117.99,3.825
1484,5.4482,20.0,563.0,107.0,246.0,123.0,37.95,-122.05,1.908
15040,3.3906,33.0,2432.0,443.0,1147.0,427.0,32.78,-116.95,1.381
2975,5.0012,8.0,11609.0,2141.0,5696.0,2100.0,35.32,-119.08,1.063
10566,3.2229,15.0,1010.0,350.0,470.0,342.0,33.71,-117.76,1.083
14465,8.1844,22.0,3205.0,429.0,1083.0,410.0,32.81,-117.23,4.063
726,4.38,40.0,1553.0,253.0,724.0,267.0,37.68,-122.12,1.964
5598,3.35,38.0,1446.0,327.0,980.0,319.0,33.8,-118.27,1.777
9969,3.1312,49.0,1977.0,393.0,741.0,339.0,38.51,-122.48,2.476
15036,6.1103,35.0,2306.0,334.0,828.0,310.0,32.77,-116.99,3.016
2508,2.3295,42.0,1766.0,344.0,1084.0,323.0,36.97,-120.55,0.744
5218,1.35,40.0,1193.0,280.0,1210.0,286.0,33.95,-118.24,0.895
8183,5.8491,36.0,4210.0,657.0,1911.0,631.0,33.79,-118.09,2.473
3787,2.3784,15.0,3327.0,1011.0,2683.0,857.0,34.17,-118.37,1.854
8423,2.11,25.0,2260.0,692.0,1603.0,673.0,33.93,-118.35,2.233
9555,4.1058,25.0,1731.0,311.0,810.0,266.0,37.33,-120.65,1.076
749,6.1104,32.0,2015.0,318.0,1019.0,340.0,37.68,-122.05,2.407
3618,5.5124,34.0,325.0,60.0,433.0,83.0,34.26,-118.44,1.743
434,3.556,52.0,1650.0,395.0,841.0,380.0,37.88,-122.29,1.793
517,8.7477,52.0,1611.0,203.0,556.0,179.0,37.82,-122.23,5.00001
14618,3.7292,23.0,2395.0,476.0,2284.0,488.0,32.8,-117.15,1.463
4108,8.5677,28.0,4287.0,627.0,1498.0,615.0,34.13,-118.37,5.00001
6268,3.3409,34.0,1519.0,304.0,1262.0,300.0,34.05,-117.94,1.612
6065,7.0329,11.0,21533.0,3078.0,9671.0,2890.0,33.97,-117.83,3.683
10700,2.6759,17.0,2612.0,582.0,832.0,564.0,33.61,-117.73,1.206
11565,5.1345,27.0,2343.0,415.0,1537.0,426.0,33.75,-117.98,2.106
14400,2.2328,34.0,981.0,313.0,508.0,304.0,32.75,-117.28,2.667
17833,5.6096,17.0,2156.0,435.0,1400.0,393.0,37.41,-121.85,1.991
13949,5.0,31.0,5454.0,1053.0,1408.0,504.0,34.22,-117.21,1.611
8097,3.8586,45.0,1816.0,398.0,1524.0,388.0,33.81,-118.21,1.579
3772,5.1496,27.0,2795.0,602.0,1073.0,535.0,34.15,-118.42,3.65
4589,1.6184,52.0,1261.0,616.0,2309.0,581.0,34.06,-118.28,2.25
2479,1.4191,12.0,1923.0,559.0,2809.0,535.0,36.19,-120.09,0.551
19486,2.7621,33.0,1433.0,298.0,824.0,302.0,37.67,-120.98,1.091
11575,3.5139,28.0,2401.0,503.0,1155.0,456.0,33.77,-118.0,2.117
899,4.7135,28.0,2312.0,496.0,1344.0,467.0,37.54,-121.97,2.032
17109,10.8758,48.0,2560.0,322.0,921.0,301.0,37.46,-122.21,5.00001
5547,5.6732,43.0,2416.0,454.0,1028.0,409.0,33.96,-118.4,3.307
4249,3.6974,40.0,5485.0,1242.0,2034.0,1133.0,34.11,-118.34,5.00001
2856,3.875,21.0,3999.0,727.0,1889.0,688.0,35.41,-118.95,0.995
20466,5.5983,24.0,3241.0,461.0,1567.0,446.0,34.27,-118.75,2.333
6530,1.9189,28.0,1778.0,605.0,2184.0,574.0,34.06,-118.06,1.659
18177,8.6155,17.0,2070.0,278.0,797.0,275.0,37.36,-122.0,4.112
12268,2.933,13.0,2604.0,443.0,978.0,417.0,33.73,-116.86,1.707
19326,2.6316,46.0,2280.0,492.0,807.0,366.0,38.5,-122.94,1.17
15678,3.6893,52.0,1976.0,726.0,1045.0,669.0,37.8,-122.43,4.75
10526,3.3125,4.0,3283.0,911.0,1512.0,782.0,33.57,-117.7,1.385
3967,5.223,33.0,1759.0,311.0,943.0,315.0,34.2,-118.57,2.092
5738,9.5823,52.0,2187.0,284.0,733.0,274.0,34.16,-118.24,4.062
18435,5.5849,15.0,3243.0,551.0,1752.0,551.0,37.26,-121.83,2.574
6935,4.3333,31.0,1108.0,238.0,1151.0,229.0,34.01,-118.09,1.495
18540,3.1932,51.0,1616.0,374.0,608.0,302.0,36.93,-122.0,4.0
9986,3.5208,33.0,1239.0,262.0,539.0,246.0,38.59,-122.58,1.958
7306,3.1979,35.0,1608.0,465.0,2140.0,488.0,33.99,-118.2,1.547
16455,2.8237,34.0,3268.0,640.0,1906.0,628.0,38.12,-121.28,1.107
3118,1.8984,19.0,1124.0,290.0,598.0,261.0,35.65,-117.81,0.543
8028,4.1094,37.0,1242.0,221.0,565.0,213.0,33.84,-118.12,2.158
16697,2.655,22.0,1240.0,294.0,768.0,288.0,35.12,-120.62,1.6
17734,4.8173,16.0,906.0,149.0,605.0,148.0,37.3,-121.8,2.356
12388,2.2439,18.0,4872.0,1110.0,955.0,656.0,33.77,-116.44,0.975
19274,3.9766,14.0,4143.0,656.0,1569.0,629.0,38.44,-122.78,3.453
11661,5.1155,34.0,3482.0,614.0,2227.0,641.0,33.81,-118.02,2.009
10268,3.2083,21.0,1519.0,388.0,1203.0,366.0,33.87,-117.88,1.453
11738,1.7375,52.0,1280.0,281.0,523.0,266.0,38.9,-121.07,1.222
10964,3.3472,26.0,3141.0,670.0,1572.0,724.0,33.78,-117.88,2.374
12204,3.9443,2.0,20391.0,3245.0,7132.0,2716.0,33.57,-117.16,1.873
14407,4.0313,35.0,2494.0,690.0,1126.0,624.0,32.77,-117.25,3.853
2266,2.6522,35.0,1474.0,291.0,709.0,294.0,36.79,-119.82,0.659
4218,3.6181,38.0,4453.0,1156.0,1830.0,1099.0,34.11,-118.28,4.956
9785,3.5547,31.0,372.0,68.0,479.0,67.0,35.95,-121.32,2.0
6646,3.2898,49.0,1962.0,435.0,1329.0,457.0,34.17,-118.13,2.0
5561,2.1875,37.0,1761.0,409.0,1309.0,357.0,33.92,-118.28,1.759
2185,3.4861,26.0,1453.0,251.0,896.0,260.0,36.74,-119.98,1.125
16760,4.2472,36.0,3988.0,732.0,1793.0,708.0,37.7,-122.54,2.925
13063,3.311,17.0,3608.0,682.0,1694.0,666.0,38.56,-121.33,1.094
17981,3.5652,27.0,2462.0,570.0,1278.0,565.0,37.31,-121.95,3.295
18087,10.7326,11.0,5488.0,706.0,1947.0,641.0,37.3,-122.06,5.00001
2364,4.5375,18.0,1284.0,193.0,621.0,190.0,36.72,-119.59,1.306
16996,6.9635,5.0,1649.0,388.0,779.0,376.0,37.54,-122.26,4.173
17594,3.625,31.0,616.0,131.0,185.0,107.0,37.3,-121.91,2.65
2011,2.4137,21.0,1702.0,358.0,1347.0,316.0,36.73,-119.83,0.621
12136,3.5781,4.0,1611.0,239.0,275.0,84.0,33.89,-117.13,2.444
19824,2.9554,32.0,3451.0,625.0,1968.0,574.0,36.5,-119.48,1.103
9333,3.7321,36.0,1199.0,232.0,551.0,229.0,38.01,-122.64,2.667
15251,5.2742,17.0,1853.0,392.0,351.0,208.0,32.98,-117.27,2.307
10223,5.7519,27.0,2091.0,336.0,1037.0,332.0,33.88,-117.89,2.434
17054,5.4688,38.0,645.0,124.0,265.0,103.0,37.47,-122.25,3.05
3215,1.4524,41.0,3095.0,766.0,1852.0,721.0,36.33,-119.64,0.517
7433,2.4459,40.0,2227.0,594.0,2244.0,580.0,33.94,-118.21,1.438
14935,4.9792,11.0,3098.0,490.0,1391.0,484.0,32.64,-117.0,1.704
9966,4.635,33.0,2542.0,466.0,1099.0,420.0,38.46,-122.4,2.485
9589,3.6742,9.0,2934.0,511.0,1227.0,501.0,37.34,-120.47,1.172
9078,2.1167,48.0,1379.0,327.0,696.0,304.0,34.69,-118.14,0.949
7613,2.6719,35.0,842.0,201.0,763.0,189.0,33.88,-118.23,1.098
9466,1.9213,52.0,1533.0,336.0,754.0,340.0,39.44,-123.8,0.95
6742,3.5671,28.0,4465.0,985.0,2273.0,949.0,34.13,-118.08,2.285
19512,1.7104,33.0,1469.0,370.0,1318.0,349.0,37.61,-121.02,0.59
3642,2.6299,35.0,2288.0,617.0,2222.0,566.0,34.22,-118.46,1.707
5413,5.8666,37.0,1328.0,250.0,626.0,228.0,34.01,-118.45,4.401
17988,4.0962,20.0,710.0,188.0,363.0,176.0,37.29,-121.94,2.141
5151,1.2091,39.0,1529.0,358.0,1154.0,357.0,33.95,-118.27,0.979
15924,4.3125,52.0,1775.0,347.0,1102.0,367.0,37.72,-122.44,2.672
8343,6.0718,38.0,694.0,112.0,412.0,119.0,33.93,-118.33,1.56
9850,1.2656,19.0,656.0,200.0,248.0,173.0,36.6,-121.89,5.0
6318,3.7083,33.0,2006.0,381.0,1410.0,346.0,34.01,-117.97,1.655
8855,4.4896,48.0,2799.0,596.0,1235.0,561.0,34.07,-118.38,5.00001
10577,4.9079,23.0,1444.0,260.0,792.0,253.0,33.63,-117.69,2.738
10120,4.2443,34.0,2271.0,437.0,1393.0,433.0,33.92,-117.93,1.744
13610,4.4435,35.0,1517.0,257.0,658.0,245.0,34.14,-117.27,0.976
5099,2.7917,47.0,2066.0,422.0,1156.0,380.0,33.97,-118.31,1.258
10495,4.0167,18.0,2626.0,530.0,1302.0,522.0,33.51,-117.66,1.896
3391,3.75,42.0,1073.0,220.0,804.0,226.0,34.21,-118.35,1.726
16748,3.3214,37.0,3029.0,738.0,2436.0,700.0,37.7,-122.46,2.432
12988,4.4489,16.0,3389.0,597.0,1674.0,568.0,38.69,-121.27,1.456
16759,6.1278,29.0,1048.0,150.0,455.0,152.0,37.71,-122.48,4.176
11847,2.2019,15.0,3763.0,784.0,717.0,348.0,39.72,-120.66,1.305
14596,4.739,26.0,2424.0,388.0,974.0,375.0,32.81,-117.17,1.841
10019,2.4688,16.0,1528.0,351.0,729.0,319.0,39.19,-121.18,1.388
11252,2.4526,23.0,3284.0,795.0,3257.0,758.0,33.81,-117.99,1.829
3430,3.2583,37.0,1269.0,348.0,1835.0,335.0,34.26,-118.43,1.472
4063,3.4698,38.0,1495.0,300.0,598.0,280.0,34.16,-118.46,2.654
1553,7.6473,17.0,3354.0,422.0,1457.0,425.0,37.8,-121.98,3.458
18272,7.5274,37.0,2269.0,325.0,930.0,321.0,37.36,-122.09,5.00001
2025,2.1905,17.0,5872.0,1250.0,5034.0,1224.0,36.71,-119.74,0.618
1785,1.3167,49.0,969.0,229.0,599.0,195.0,37.94,-122.37,0.716
5188,2.0789,34.0,721.0,165.0,661.0,171.0,33.94,-118.27,0.924
9324,3.6863,39.0,3302.0,684.0,1574.0,653.0,37.96,-122.51,2.638
17499,4.835,28.0,2864.0,495.0,1364.0,482.0,34.44,-119.78,3.534
3492,5.3107,35.0,2132.0,368.0,1128.0,341.0,34.28,-118.48,2.271
1335,4.1016,4.0,2171.0,597.0,928.0,461.0,37.99,-121.89,1.705
11279,5.244,35.0,1493.0,267.0,811.0,272.0,33.8,-117.96,2.18
3230,1.8839,25.0,1847.0,371.0,1460.0,353.0,36.31,-119.61,0.463
8722,5.7654,35.0,1577.0,279.0,743.0,274.0,33.84,-118.36,3.43
880,5.0,18.0,5505.0,1005.0,2641.0,971.0,37.56,-121.99,2.697
15968,3.0469,40.0,1883.0,397.0,1411.0,438.0,37.71,-122.4,2.38
13854,1.6232,7.0,4584.0,1051.0,2049.0,918.0,34.49,-117.32,0.934
8279,3.3003,13.0,3056.0,861.0,1600.0,824.0,33.78,-118.15,2.078
15823,2.2328,52.0,1609.0,510.0,1155.0,439.0,37.75,-122.42,2.5
